,library,max_iter,n,time
304,tensorflow-eager,100,21544,1.7881393432617188e-05
305,tensorflow-eager,100,21544,2.3126602172851562e-05
306,tensorflow-eager,100,21544,1.811981201171875e-05
307,tensorflow-eager,100,21544,1.71661376953125e-05
308,tensorflow-eager,100,21544,1.7881393432617188e-05
309,tensorflow-eager,100,21544,1.7881393432617188e-05
310,tensorflow-eager,100,21544,1.7881393432617188e-05
311,tensorflow-eager,100,21544,1.6927719116210938e-05
312,tensorflow-eager,100,21544,1.6927719116210938e-05
313,tensorflow-eager,100,21544,1.811981201171875e-05
314,tensorflow-eager,100,21544,1.71661376953125e-05
315,tensorflow-eager,100,21544,1.811981201171875e-05
316,tensorflow-eager,100,21544,1.811981201171875e-05
317,tensorflow-eager,100,21544,1.71661376953125e-05
318,tensorflow-eager,100,21544,2.1696090698242188e-05
319,tensorflow-eager,100,21544,1.7881393432617188e-05
320,tensorflow-eager,100,21544,1.71661376953125e-05
321,tensorflow-eager,100,21544,1.811981201171875e-05
322,tensorflow-eager,100,21544,1.811981201171875e-05
323,tensorflow-eager,100,21544,1.71661376953125e-05
324,tensorflow-eager,100,21544,1.811981201171875e-05
325,tensorflow-eager,100,21544,1.7881393432617188e-05
326,tensorflow-eager,100,21544,1.6927719116210938e-05
327,tensorflow-eager,100,21544,1.7881393432617188e-05
328,tensorflow-eager,100,21544,1.7881393432617188e-05
329,tensorflow-eager,100,21544,1.6927719116210938e-05
330,tensorflow-eager,100,21544,1.7881393432617188e-05
331,tensorflow-eager,100,21544,1.8358230590820312e-05
332,tensorflow-eager,100,21544,1.8358230590820312e-05
333,tensorflow-eager,100,21544,1.811981201171875e-05
334,tensorflow-eager,100,21544,1.71661376953125e-05
335,tensorflow-eager,100,21544,1.7881393432617188e-05
336,tensorflow-eager,100,21544,1.6927719116210938e-05
337,tensorflow-eager,100,21544,1.6927719116210938e-05
338,tensorflow-eager,100,21544,1.7881393432617188e-05
339,tensorflow-eager,100,21544,1.6689300537109375e-05
340,tensorflow-eager,100,21544,1.6927719116210938e-05
341,tensorflow-eager,100,21544,1.7881393432617188e-05
342,tensorflow-eager,100,21544,2.193450927734375e-05
343,tensorflow-eager,100,21544,1.6927719116210938e-05
344,tensorflow-eager,100,21544,1.7881393432617188e-05
345,tensorflow-eager,100,21544,1.811981201171875e-05
346,tensorflow-eager,100,21544,1.8358230590820312e-05
347,tensorflow-eager,100,21544,1.8358230590820312e-05
348,tensorflow-eager,100,21544,1.811981201171875e-05
349,tensorflow-eager,100,21544,1.6927719116210938e-05
350,tensorflow-eager,100,21544,1.6927719116210938e-05
351,tensorflow-eager,100,21544,1.7881393432617188e-05
352,tensorflow-eager,100,21544,1.811981201171875e-05
353,tensorflow-eager,100,21544,1.6689300537109375e-05
354,tensorflow-eager,100,21544,1.6927719116210938e-05
355,tensorflow-eager,100,21544,1.7881393432617188e-05
356,tensorflow-eager,100,21544,1.811981201171875e-05
357,tensorflow-eager,100,21544,1.71661376953125e-05
358,tensorflow-eager,100,21544,1.811981201171875e-05
359,tensorflow-eager,100,21544,1.811981201171875e-05
360,tensorflow-eager,100,21544,1.811981201171875e-05
361,tensorflow-eager,100,21544,2.2172927856445312e-05
362,tensorflow-eager,100,21544,1.811981201171875e-05
363,tensorflow-eager,100,21544,1.71661376953125e-05
364,tensorflow-eager,100,21544,1.7881393432617188e-05
365,tensorflow-eager,100,21544,1.7881393432617188e-05
366,tensorflow-eager,100,21544,2.193450927734375e-05
367,tensorflow-eager,100,21544,1.7881393432617188e-05
368,tensorflow-eager,100,21544,1.811981201171875e-05
369,tensorflow-eager,100,21544,1.811981201171875e-05
370,tensorflow-eager,100,21544,1.7881393432617188e-05
371,tensorflow-eager,100,21544,1.7881393432617188e-05
372,tensorflow-eager,100,21544,1.6927719116210938e-05
373,tensorflow-eager,100,21544,1.7881393432617188e-05
374,tensorflow-eager,100,21544,1.7881393432617188e-05
375,tensorflow-eager,100,21544,1.7881393432617188e-05
376,tensorflow-eager,100,21544,1.811981201171875e-05
377,tensorflow-eager,100,21544,1.811981201171875e-05
378,tensorflow-eager,100,21544,1.8358230590820312e-05
379,tensorflow-eager,100,21544,1.8358230590820312e-05
380,tensorflow-eager,100,21544,1.7881393432617188e-05
381,tensorflow-eager,100,21544,1.7881393432617188e-05
382,tensorflow-eager,100,21544,2.3126602172851562e-05
383,tensorflow-eager,100,21544,2.5033950805664062e-05
384,tensorflow-eager,100,21544,2.288818359375e-05
385,tensorflow-eager,100,21544,1.9073486328125e-05
386,tensorflow-eager,100,21544,1.8835067749023438e-05
387,tensorflow-eager,100,21544,1.811981201171875e-05
388,tensorflow-eager,100,21544,1.7881393432617188e-05
389,tensorflow-eager,100,21544,1.6927719116210938e-05
390,tensorflow-eager,100,21544,2.2172927856445312e-05
391,tensorflow-eager,100,21544,1.6927719116210938e-05
392,tensorflow-eager,100,21544,1.6927719116210938e-05
393,tensorflow-eager,100,21544,1.7881393432617188e-05
394,tensorflow-eager,100,21544,4.601478576660156e-05
395,tensorflow-eager,100,21544,5.078315734863281e-05
396,tensorflow-eager,100,21544,2.5987625122070312e-05
397,tensorflow-eager,100,21544,2.6226043701171875e-05
398,tensorflow-eager,100,21544,2.47955322265625e-05
399,tensorflow-eager,100,21544,2.5033950805664062e-05
400,tensorflow-eager,100,59948,0.0004961490631103516
401,tensorflow-eager,100,59948,0.00010991096496582031
402,tensorflow-eager,100,59948,4.7206878662109375e-05
403,tensorflow-eager,100,59948,3.790855407714844e-05
404,tensorflow-eager,100,59948,3.600120544433594e-05
405,tensorflow-eager,100,59948,3.600120544433594e-05
406,tensorflow-eager,100,59948,3.5762786865234375e-05
407,tensorflow-eager,100,59948,3.504753112792969e-05
408,tensorflow-eager,100,59948,8.296966552734375e-05
409,tensorflow-eager,100,59948,0.00022125244140625
410,tensorflow-eager,100,59948,0.00010085105895996094
411,tensorflow-eager,100,59948,0.00011801719665527344
412,tensorflow-eager,100,59948,6.818771362304688e-05
413,tensorflow-eager,100,59948,5.412101745605469e-05
414,tensorflow-eager,100,59948,0.00012087821960449219
415,tensorflow-eager,100,59948,6.508827209472656e-05
416,tensorflow-eager,100,59948,4.8160552978515625e-05
417,tensorflow-eager,100,59948,5.0067901611328125e-05
418,tensorflow-eager,100,59948,4.291534423828125e-05
419,tensorflow-eager,100,59948,4.1961669921875e-05
420,tensorflow-eager,100,59948,4.315376281738281e-05
421,tensorflow-eager,100,59948,4.1961669921875e-05
422,tensorflow-eager,100,59948,4.291534423828125e-05
423,tensorflow-eager,100,59948,4.291534423828125e-05
424,tensorflow-eager,100,59948,4.363059997558594e-05
425,tensorflow-eager,100,59948,4.291534423828125e-05
426,tensorflow-eager,100,59948,4.1961669921875e-05
427,tensorflow-eager,100,59948,4.291534423828125e-05
428,tensorflow-eager,100,59948,4.410743713378906e-05
429,tensorflow-eager,100,59948,4.38690185546875e-05
430,tensorflow-eager,100,59948,4.291534423828125e-05
431,tensorflow-eager,100,59948,4.1961669921875e-05
432,tensorflow-eager,100,59948,4.1961669921875e-05
433,tensorflow-eager,100,59948,4.1961669921875e-05
434,tensorflow-eager,100,59948,4.291534423828125e-05
435,tensorflow-eager,100,59948,4.38690185546875e-05
436,tensorflow-eager,100,59948,4.506111145019531e-05
437,tensorflow-eager,100,59948,4.506111145019531e-05
438,tensorflow-eager,100,59948,5.078315734863281e-05
439,tensorflow-eager,100,59948,4.410743713378906e-05
440,tensorflow-eager,100,59948,4.38690185546875e-05
441,tensorflow-eager,100,59948,4.291534423828125e-05
442,tensorflow-eager,100,59948,4.315376281738281e-05
443,tensorflow-eager,100,59948,4.1961669921875e-05
444,tensorflow-eager,100,59948,4.1961669921875e-05
445,tensorflow-eager,100,59948,8.320808410644531e-05
446,tensorflow-eager,100,59948,4.1961669921875e-05
447,tensorflow-eager,100,59948,0.00014495849609375
448,tensorflow-eager,100,59948,5.793571472167969e-05
449,tensorflow-eager,100,59948,5.1021575927734375e-05
450,tensorflow-eager,100,59948,5.412101745605469e-05
451,tensorflow-eager,100,59948,5.125999450683594e-05
452,tensorflow-eager,100,59948,4.8160552978515625e-05
453,tensorflow-eager,100,59948,4.9114227294921875e-05
454,tensorflow-eager,100,59948,5.91278076171875e-05
455,tensorflow-eager,100,59948,0.00010609626770019531
456,tensorflow-eager,100,59948,9.298324584960938e-05
457,tensorflow-eager,100,59948,6.508827209472656e-05
458,tensorflow-eager,100,59948,6.103515625e-05
459,tensorflow-eager,100,59948,6.318092346191406e-05
460,tensorflow-eager,100,59948,7.224082946777344e-05
461,tensorflow-eager,100,59948,6.699562072753906e-05
462,tensorflow-eager,100,59948,6.198883056640625e-05
463,tensorflow-eager,100,59948,3.886222839355469e-05
464,tensorflow-eager,100,59948,3.814697265625e-05
465,tensorflow-eager,100,59948,3.719329833984375e-05
466,tensorflow-eager,100,59948,3.719329833984375e-05
467,tensorflow-eager,100,59948,3.695487976074219e-05
468,tensorflow-eager,100,59948,3.719329833984375e-05
469,tensorflow-eager,100,59948,3.719329833984375e-05
470,tensorflow-eager,100,59948,3.6716461181640625e-05
471,tensorflow-eager,100,59948,3.695487976074219e-05
472,tensorflow-eager,100,59948,3.695487976074219e-05
473,tensorflow-eager,100,59948,4.100799560546875e-05
474,tensorflow-eager,100,59948,3.600120544433594e-05
475,tensorflow-eager,100,59948,3.600120544433594e-05
476,tensorflow-eager,100,59948,3.6716461181640625e-05
477,tensorflow-eager,100,59948,3.695487976074219e-05
478,tensorflow-eager,100,59948,3.600120544433594e-05
479,tensorflow-eager,100,59948,3.719329833984375e-05
480,tensorflow-eager,100,59948,3.5762786865234375e-05
481,tensorflow-eager,100,59948,3.62396240234375e-05
482,tensorflow-eager,100,59948,3.719329833984375e-05
483,tensorflow-eager,100,59948,3.695487976074219e-05
484,tensorflow-eager,100,59948,3.600120544433594e-05
485,tensorflow-eager,100,59948,3.600120544433594e-05
486,tensorflow-eager,100,59948,4.029273986816406e-05
487,tensorflow-eager,100,59948,3.719329833984375e-05
488,tensorflow-eager,100,59948,3.695487976074219e-05
489,tensorflow-eager,100,59948,3.886222839355469e-05
490,tensorflow-eager,100,59948,5.3882598876953125e-05
491,tensorflow-eager,100,59948,3.600120544433594e-05
492,tensorflow-eager,100,59948,3.600120544433594e-05
493,tensorflow-eager,100,59948,3.790855407714844e-05
494,tensorflow-eager,100,59948,3.600120544433594e-05
495,tensorflow-eager,100,59948,3.504753112792969e-05
496,tensorflow-eager,100,59948,3.504753112792969e-05
497,tensorflow-eager,100,59948,3.504753112792969e-05
498,tensorflow-eager,100,59948,3.4809112548828125e-05
499,tensorflow-eager,100,59948,3.504753112792969e-05
500,tensorflow-eager,100,166810,0.0010750293731689453
501,tensorflow-eager,100,166810,0.0003180503845214844
502,tensorflow-eager,100,166810,0.00026702880859375
503,tensorflow-eager,100,166810,0.0002491474151611328
504,tensorflow-eager,100,166810,0.00025081634521484375
505,tensorflow-eager,100,166810,0.0002586841583251953
506,tensorflow-eager,100,166810,0.00038909912109375
507,tensorflow-eager,100,166810,0.0003719329833984375
